scenario_id,condition,condition_label,rank,query,expanded_queries,remaining_kcal,name,category,distance,kcal,protein,sodium,sugar,carb,allergen_violation,calorie_violation,constraint_fit,source,doc
S01_dairy_high_protein_breakfast,C1,Baseline,1,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,기타차_제로칼로리 복숭아 아이스티 노슈거 (초대용량),음료 및 차류,282.936035,1.0,0.1,2.0,,,False,False,False,K-FCDB_음식DB,기타차_제로칼로리 복숭아 아이스티 노슈거 (초대용량) | 분류: 음료 및 차류 | 칼로리 1.0kcal | 단백질 0.1g | 나트륨 2.0mg | (기준: 100ml) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C1,Baseline,2,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,과ㆍ채주스_키위 쥬스 (L),음료 및 차류,296.31781,45.0,0.6,2.0,8.0,,False,False,False,K-FCDB_음식DB,과ㆍ채주스_키위 쥬스 (L) | 분류: 음료 및 차류 | 칼로리 45.0kcal | 단백질 0.6g | 나트륨 2.0mg | 당류 8.0g | (기준: 100g) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C1,Baseline,3,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,과ㆍ채주스_포멜로 크림 주스,음료 및 차류,297.189362,45.0,0.3,10.0,5.1,,True,False,False,K-FCDB_음식DB,과ㆍ채주스_포멜로 크림 주스 | 분류: 음료 및 차류 | 칼로리 45.0kcal | 단백질 0.3g | 나트륨 10.0mg | 당류 5.1g | (기준: 100ml) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C1,Baseline,4,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,샌드위치_에그쉬림프 샌드위치,빵 및 과자류,301.013184,205.0,7.6,549.0,5.4,,False,False,False,K-FCDB_음식DB,샌드위치_에그쉬림프 샌드위치 | 분류: 빵 및 과자류 | 칼로리 205.0kcal | 단백질 7.6g | 나트륨 549.0mg | 당류 5.4g | (기준: 100g) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C1,Baseline,5,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,샌드위치_쉬림프에그마요샌드위치,빵 및 과자류,301.420319,204.0,7.9,329.0,4.8,,False,False,False,K-FCDB_음식DB,샌드위치_쉬림프에그마요샌드위치 | 분류: 빵 및 과자류 | 칼로리 204.0kcal | 단백질 7.9g | 나트륨 329.0mg | 당류 4.8g | (기준: 100g) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C2,Retrieval allergen filter only,1,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,기타차_제로칼로리 복숭아 아이스티 노슈거 (초대용량),음료 및 차류,282.936035,1.0,0.1,2.0,,,False,False,False,K-FCDB_음식DB,기타차_제로칼로리 복숭아 아이스티 노슈거 (초대용량) | 분류: 음료 및 차류 | 칼로리 1.0kcal | 단백질 0.1g | 나트륨 2.0mg | (기준: 100ml) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C2,Retrieval allergen filter only,2,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,과ㆍ채주스_키위 쥬스 (L),음료 및 차류,296.31781,45.0,0.6,2.0,8.0,,False,False,False,K-FCDB_음식DB,과ㆍ채주스_키위 쥬스 (L) | 분류: 음료 및 차류 | 칼로리 45.0kcal | 단백질 0.6g | 나트륨 2.0mg | 당류 8.0g | (기준: 100g) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C2,Retrieval allergen filter only,3,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,과ㆍ채주스_완전 망고 주스,음료 및 차류,300.122467,34.0,0.3,1.0,5.2,,False,False,False,K-FCDB_음식DB,과ㆍ채주스_완전 망고 주스 | 분류: 음료 및 차류 | 칼로리 34.0kcal | 단백질 0.3g | 나트륨 1.0mg | 당류 5.2g | (기준: 100ml) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C2,Retrieval allergen filter only,4,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,샌드위치_에그쉬림프 샌드위치,빵 및 과자류,301.013184,205.0,7.6,549.0,5.4,,False,False,False,K-FCDB_음식DB,샌드위치_에그쉬림프 샌드위치 | 분류: 빵 및 과자류 | 칼로리 205.0kcal | 단백질 7.6g | 나트륨 549.0mg | 당류 5.4g | (기준: 100g) | (출처: Korean Food Composition Database system (K-FCDB))
S01_dairy_high_protein_breakfast,C2,Retrieval allergen filter only,5,고단백 아침 추천,고단백 아침 추천 || 근육 증가 아침 메뉴 || 500kcal 이하 아침 식사,500.0,샌드위치_쉬림프에그마요샌드위치,빵 및 과자류,301.420319,204.0,7.9,329.0,4.8,,False,False,False,K-FCDB_음식DB,샌드위치_쉬림프에그마요샌드위치 | 분류: 빵 및 과자류 | 칼로리 204.0kcal | 단백질 7.9g | 나트륨 329.0mg | 당류 4.8g | (기준: 100g) | (출처: Korean Food Composition Database system (K-FCDB))
