scenario_id,condition,condition_label,query,expected_focus,remaining_kcal,recommended_count,coverage,allergen_violation_rate,calorie_violation_rate,safety_pass_rate,constraint_fit_rate,scenario_safe,mean_distance,mean_kcal,quality_score,expanded_queries
S01_dairy_high_protein_breakfast,C1,Baseline,고단백 아침 추천,유제품 알레르기와 아침 고단백 후보 충돌,500.0,5,1.0,0.2,0.0,0.8,0.0,False,295.775342,100.0,56.0,"['고단백 아침 추천', '근육 증가 아침 메뉴', '500kcal 이하 아침 식사']"
S01_dairy_high_protein_breakfast,C2,Retrieval allergen filter only,고단백 아침 추천,유제품 알레르기와 아침 고단백 후보 충돌,500.0,5,1.0,0.0,0.0,1.0,0.0,True,296.361963,97.8,65.0,"['고단백 아침 추천', '근육 증가 아침 메뉴', '500kcal 이하 아침 식사']"
S01_dairy_high_protein_breakfast,C3,Calorie post-validator only,고단백 아침 추천,유제품 알레르기와 아침 고단백 후보 충돌,500.0,5,1.0,0.2,0.0,0.8,0.0,False,295.775342,100.0,56.0,"['고단백 아침 추천', '근육 증가 아침 메뉴', '500kcal 이하 아침 식사']"
S01_dairy_high_protein_breakfast,C4,Full,고단백 아침 추천,유제품 알레르기와 아침 고단백 후보 충돌,500.0,5,1.0,0.0,0.0,1.0,0.0,True,296.361963,97.8,65.0,"['고단백 아침 추천', '근육 증가 아침 메뉴', '500kcal 이하 아침 식사']"
S02_dairy_snack,C1,Baseline,건강한 간식 추천,유제품 알레르기와 저칼로리 간식,250.0,5,1.0,0.6,0.0,0.4,1.0,False,277.20304,255.8,73.0,"['건강한 간식 추천', '건강한 간식 메뉴 추천', '250kcal 이하 간식 식사']"
S02_dairy_snack,C2,Retrieval allergen filter only,건강한 간식 추천,유제품 알레르기와 저칼로리 간식,250.0,5,1.0,0.0,0.0,1.0,1.0,True,278.637488,241.4,100.0,"['건강한 간식 추천', '건강한 간식 메뉴 추천', '250kcal 이하 간식 식사']"
S02_dairy_snack,C3,Calorie post-validator only,건강한 간식 추천,유제품 알레르기와 저칼로리 간식,250.0,5,1.0,0.6,0.0,0.4,1.0,False,277.20304,255.8,73.0,"['건강한 간식 추천', '건강한 간식 메뉴 추천', '250kcal 이하 간식 식사']"
S02_dairy_snack,C4,Full,건강한 간식 추천,유제품 알레르기와 저칼로리 간식,250.0,5,1.0,0.0,0.0,1.0,1.0,True,278.637488,241.4,100.0,"['건강한 간식 추천', '건강한 간식 메뉴 추천', '250kcal 이하 간식 식사']"
S03_nuts_snack,C1,Baseline,견과류가 들어간 간식 대신 안전한 간식 추천,견과류 알레르기 필터,300.0,5,1.0,0.0,0.0,1.0,1.0,True,257.079315,255.8,100.0,"['견과류가 들어간 간식 대신 안전한 간식 추천', '건강한 간식 메뉴 추천', '300kcal 이하 간식 식사']"
S03_nuts_snack,C2,Retrieval allergen filter only,견과류가 들어간 간식 대신 안전한 간식 추천,견과류 알레르기 필터,300.0,5,1.0,0.0,0.0,1.0,1.0,True,257.079315,255.8,100.0,"['견과류가 들어간 간식 대신 안전한 간식 추천', '건강한 간식 메뉴 추천', '300kcal 이하 간식 식사']"
S03_nuts_snack,C3,Calorie post-validator only,견과류가 들어간 간식 대신 안전한 간식 추천,견과류 알레르기 필터,300.0,5,1.0,0.0,0.0,1.0,1.0,True,257.079315,255.8,100.0,"['견과류가 들어간 간식 대신 안전한 간식 추천', '건강한 간식 메뉴 추천', '300kcal 이하 간식 식사']"
S03_nuts_snack,C4,Full,견과류가 들어간 간식 대신 안전한 간식 추천,견과류 알레르기 필터,300.0,5,1.0,0.0,0.0,1.0,1.0,True,257.079315,255.8,100.0,"['견과류가 들어간 간식 대신 안전한 간식 추천', '건강한 간식 메뉴 추천', '300kcal 이하 간식 식사']"
S04_shellfish_dinner,C1,Baseline,해산물 저녁 추천,갑각류 알레르기와 해산물 검색,650.0,5,1.0,0.0,0.0,1.0,1.0,True,276.839123,318.4,100.0,"['해산물 저녁 추천', '건강한 저녁 메뉴 추천', '650kcal 이하 저녁 식사']"
S04_shellfish_dinner,C2,Retrieval allergen filter only,해산물 저녁 추천,갑각류 알레르기와 해산물 검색,650.0,5,1.0,0.0,0.0,1.0,1.0,True,276.839123,318.4,100.0,"['해산물 저녁 추천', '건강한 저녁 메뉴 추천', '650kcal 이하 저녁 식사']"
S04_shellfish_dinner,C3,Calorie post-validator only,해산물 저녁 추천,갑각류 알레르기와 해산물 검색,650.0,5,1.0,0.0,0.0,1.0,1.0,True,276.839123,318.4,100.0,"['해산물 저녁 추천', '건강한 저녁 메뉴 추천', '650kcal 이하 저녁 식사']"
S04_shellfish_dinner,C4,Full,해산물 저녁 추천,갑각류 알레르기와 해산물 검색,650.0,5,1.0,0.0,0.0,1.0,1.0,True,276.839123,318.4,100.0,"['해산물 저녁 추천', '건강한 저녁 메뉴 추천', '650kcal 이하 저녁 식사']"
S05_wheat_lunch,C1,Baseline,면 요리 점심 추천,밀 알레르기와 면류 검색,600.0,5,1.0,0.6,0.0,0.4,1.0,False,286.895972,151.0,73.0,"['면 요리 점심 추천', '건강한 점심 메뉴 추천', '600kcal 이하 점심 식사']"
S05_wheat_lunch,C2,Retrieval allergen filter only,면 요리 점심 추천,밀 알레르기와 면류 검색,600.0,5,1.0,0.0,0.0,1.0,1.0,True,296.874323,95.8,100.0,"['면 요리 점심 추천', '건강한 점심 메뉴 추천', '600kcal 이하 점심 식사']"
S05_wheat_lunch,C3,Calorie post-validator only,면 요리 점심 추천,밀 알레르기와 면류 검색,600.0,5,1.0,0.6,0.0,0.4,1.0,False,286.895972,151.0,73.0,"['면 요리 점심 추천', '건강한 점심 메뉴 추천', '600kcal 이하 점심 식사']"
S05_wheat_lunch,C4,Full,면 요리 점심 추천,밀 알레르기와 면류 검색,600.0,5,1.0,0.0,0.0,1.0,1.0,True,296.874323,95.8,100.0,"['면 요리 점심 추천', '건강한 점심 메뉴 추천', '600kcal 이하 점심 식사']"
S06_egg_breakfast,C1,Baseline,아침 단백질 메뉴 추천,계란 알레르기와 아침 단백질 후보,450.0,5,1.0,0.2,0.0,0.8,0.0,False,285.793048,99.2,56.0,"['아침 단백질 메뉴 추천', '근육 증가 아침 메뉴', '450kcal 이하 아침 식사']"
S06_egg_breakfast,C2,Retrieval allergen filter only,아침 단백질 메뉴 추천,계란 알레르기와 아침 단백질 후보,450.0,5,1.0,0.0,0.0,1.0,0.0,True,286.659967,68.4,65.0,"['아침 단백질 메뉴 추천', '근육 증가 아침 메뉴', '450kcal 이하 아침 식사']"
S06_egg_breakfast,C3,Calorie post-validator only,아침 단백질 메뉴 추천,계란 알레르기와 아침 단백질 후보,450.0,5,1.0,0.2,0.0,0.8,0.0,False,285.793048,99.2,56.0,"['아침 단백질 메뉴 추천', '근육 증가 아침 메뉴', '450kcal 이하 아침 식사']"
S06_egg_breakfast,C4,Full,아침 단백질 메뉴 추천,계란 알레르기와 아침 단백질 후보,450.0,5,1.0,0.0,0.0,1.0,0.0,True,286.659967,68.4,65.0,"['아침 단백질 메뉴 추천', '근육 증가 아침 메뉴', '450kcal 이하 아침 식사']"
